BIN,DEP,DIV,QTY
40034-TABL-B30095-S1,TABL,HH,
40034-TABL-B30096-S1,TABL,HH,
40034-TABL-B30097-S1,TABL,HH,
40034-TABL-B30098-S1,TABL,HH,
40034-TABL-B30099-S1,TABL,HH,
40034-TABL-B30100-S1,TABL,HH,
40034-TABL-B30101-S1,TABL,HH,
40034-TABL-B30102-S1,TABL,HH,
40034-TABL-B30103-S1,TABL,HH,
40034-TABL-B30104-S1,TABL,HH,
40034-TABL-B30105-S1,TABL,HH,
40034-TABL-B30106-S1,TABL,HH,
40034-TABL-B30107-S1,TABL,HH,
40034-TABL-B30108-S1,TABL,HH,
40034-TABL-B30109-S1,TABL,HH,
40034-TABL-B30110-S1,TABL,HH,
40034-TABL-B30111-S1,TABL,HH,
40034-TABL-B30112-S1,TABL,HH,
40034-TABL-B30113-S1,TABL,HH,
40034-TABL-B30114-S1,TABL,HH,
40034-TABL-B30115-S1,TABL,HH,
40034-TABL-B30116-S1,TABL,HH,
40034-TABL-B30117-S1,TABL,HH,
40034-TABL-B30118-S1,TABL,HH,
40034-TABL-B30119-S1,TABL,HH,
40034-TABL-B30120-S1,TABL,HH,
40034-TABL-B30121-S1,TABL,HH,
40034-TABL-B30122-S1,TABL,HH,
40034-TABL-B30123-S1,TABL,HH,
40034-TABL-B30124-S1,TABL,HH,
40034-TABL-B30125-S1,TABL,HH,
40034-TABL-B30126-S1,TABL,HH,
40034-TABL-B30127-S1,TABL,HH,
40034-TABL-B30128-S1,TABL,HH,
40034-TABL-B30129-S1,TABL,HH,
40034-TABL-B30130-S1,TABL,HH,
40034-TABL-B30131-S1,TABL,HH,
40034-TABL-B30132-S1,TABL,HH,
40034-TABL-B30133-S1,TABL,HH,
40034-TABL-B30134-S1,TABL,HH,
40034-TABL-B30135-S1,TABL,HH,
40034-TABL-B30136-S1,TABL,HH,
40034-TABL-B30137-S1,TABL,HH,
40034-TABL-B30138-S1,TABL,HH,
40034-TABL-B30139-S1,TABL,HH,
40034-TABL-B30140-S1,TABL,HH,
40034-TABL-B30141-S1,TABL,HH,
40034-TABL-B30142-S1,TABL,HH,
40034-TABL-B30143-S1,TABL,HH,
40034-TABL-B30144-S1,TABL,HH,
40034-TABL-B30145-S1,TABL,HH,
40034-TABL-B30146-S1,TABL,HH,
40034-TABL-B30147-S1,TABL,HH,
40034-TABL-B30148-S1,TABL,HH,
40034-TABL-B30149-S1,TABL,HH,
40034-TABL-B30150-S1,TABL,HH,
40034-TABL-B30151-S1,TABL,HH,
40034-TABL-B30152-S1,TABL,HH,
40034-TABL-B30153-S1,TABL,HH,
40034-TABL-B30154-S1,TABL,HH,
40034-TABL-B30155-S1,TABL,HH,
40034-TABL-B30156-S1,TABL,HH,
40034-TABL-B30157-S1,TABL,HH,
40034-TABL-B30158-S1,TABL,HH,
40034-TABL-B30159-S1,TABL,HH,
40034-TABL-B30160-S1,TABL,HH,
40034-TABL-B30161-S1,TABL,HH,
40034-TABL-B30162-S1,TABL,HH,
40034-TABL-B30163-S1,TABL,HH,
40034-TABL-B30164-S1,TABL,HH,
40034-TABL-B30165-S1,TABL,HH,
40034-TABL-B30166-S1,TABL,HH,
40034-TABL-B30167-S1,TABL,HH,
40034-TABL-B30168-S1,TABL,HH,
40034-TABL-B30169-S1,TABL,HH,
40034-TABL-B30170-S1,TABL,HH,
40034-TABL-B30171-S1,TABL,HH,
